"year","value","variable","units","source","lower","upper","unc"
1978,0.0818582863466667,"gmst","relative to 1951-1980","HadCRUT5",0.0965875057666667,0.0671290671333333,NA
1979,0.167460454746667,"gmst","relative to 1951-1980","HadCRUT5",0.193542745766667,0.141378160133333,NA
1980,0.272674354746667,"gmst","relative to 1951-1980","HadCRUT5",0.293988100766667,0.251360610133333,NA
1981,0.326614354746667,"gmst","relative to 1951-1980","HadCRUT5",0.350575380766667,0.302653330133333,NA
1982,0.110870596746667,"gmst","relative to 1951-1980","HadCRUT5",0.126075485366667,0.0956657101333333,NA
1983,0.300412154746667,"gmst","relative to 1951-1980","HadCRUT5",0.319228430766667,0.281595880133333,NA
1984,0.124595834746667,"gmst","relative to 1951-1980","HadCRUT5",0.142724277766667,0.106467390133333,NA
1985,0.126332056746667,"gmst","relative to 1951-1980","HadCRUT5",0.146847552766667,0.105816560133333,NA
1986,0.172289294746667,"gmst","relative to 1951-1980","HadCRUT5",0.195592124766667,0.148986460133333,NA
1987,0.319628714746667,"gmst","relative to 1951-1980","HadCRUT5",0.343369640766667,0.295887790133333,NA
1988,0.358754014746667,"gmst","relative to 1951-1980","HadCRUT5",0.378219380766667,0.339288670133333,NA
1989,0.255852614746667,"gmst","relative to 1951-1980","HadCRUT5",0.275682530766667,0.236022690133333,NA
1990,0.437184694746667,"gmst","relative to 1951-1980","HadCRUT5",0.455752840766667,0.418616550133333,NA
1991,0.415498854746667,"gmst","relative to 1951-1980","HadCRUT5",0.435220290766667,0.395777410133333,NA
1992,0.201499144746667,"gmst","relative to 1951-1980","HadCRUT5",0.222066230766667,0.180932080133333,NA
1993,0.242309504746667,"gmst","relative to 1951-1980","HadCRUT5",0.259400850766667,0.225218150133333,NA
1994,0.310152104746667,"gmst","relative to 1951-1980","HadCRUT5",0.329597070766667,0.290707130133333,NA
1995,0.453468444746667,"gmst","relative to 1951-1980","HadCRUT5",0.474839890766667,0.432097040133333,NA
1996,0.353291694746667,"gmst","relative to 1951-1980","HadCRUT5",0.374364140766667,0.332219260133333,NA
1997,0.498910814746667,"gmst","relative to 1951-1980","HadCRUT5",0.521274970766667,0.476546710133333,NA
1998,0.653944014746667,"gmst","relative to 1951-1980","HadCRUT5",0.674252890766667,0.633635150133333,NA
1999,0.401087284746667,"gmst","relative to 1951-1980","HadCRUT5",0.424018880766667,0.378155710133333,NA
2000,0.407687074746667,"gmst","relative to 1951-1980","HadCRUT5",0.429411970766667,0.385962180133333,NA
2001,0.565882654746667,"gmst","relative to 1951-1980","HadCRUT5",0.589252420766667,0.542512910133333,NA
2002,0.620068814746667,"gmst","relative to 1951-1980","HadCRUT5",0.643965980766667,0.596171670133333,NA
2003,0.620772454746667,"gmst","relative to 1951-1980","HadCRUT5",0.642426720766667,0.599118210133333,NA
2004,0.543973034746667,"gmst","relative to 1951-1980","HadCRUT5",0.565522450766667,0.522423610133333,NA
2005,0.683464814746667,"gmst","relative to 1951-1980","HadCRUT5",0.706889420766667,0.660040250133333,NA
2006,0.649155014746667,"gmst","relative to 1951-1980","HadCRUT5",0.673157120766667,0.625152880133333,NA
2007,0.668303614746667,"gmst","relative to 1951-1980","HadCRUT5",0.692537270766667,0.644069960133333,NA
2008,0.542252154746667,"gmst","relative to 1951-1980","HadCRUT5",0.563841450766667,0.520662870133333,NA
2009,0.673383914746667,"gmst","relative to 1951-1980","HadCRUT5",0.696439720766667,0.650328150133333,NA
2010,0.756973714746667,"gmst","relative to 1951-1980","HadCRUT5",0.780260020766667,0.733687310133333,NA
2011,0.614300044746667,"gmst","relative to 1951-1980","HadCRUT5",0.637185320766667,0.591414810133333,NA
2012,0.654209354746667,"gmst","relative to 1951-1980","HadCRUT5",0.676039360766667,0.632379340133333,NA
2013,0.700177614746667,"gmst","relative to 1951-1980","HadCRUT5",0.719667920766667,0.680687410133333,NA
2014,0.749473964746667,"gmst","relative to 1951-1980","HadCRUT5",0.770088990766667,0.728858910133333,NA
2015,0.901716714746667,"gmst","relative to 1951-1980","HadCRUT5",0.922471220766667,0.880962240133333,NA
1957,-257.313753857424,"OHC","2005-2014 base period","obs",-383.988644139106,-130.638863575742,126.674890281682
1958,-260.737086729184,"OHC","2005-2014 base period","obs",-378.139838344498,-143.33433511387,117.402751615314
1959,-251.200340270283,"OHC","2005-2014 base period","obs",-362.944616221826,-139.45606431874,111.744275951543
1960,-253.813225975766,"OHC","2005-2014 base period","obs",-365.070693287577,-142.555758663955,111.257467311811
1961,-236.348899857186,"OHC","2005-2014 base period","obs",-342.633845091676,-130.063954622697,106.28494523449
1962,-229.142689220503,"OHC","2005-2014 base period","obs",-331.247298620915,-127.038079820091,102.104609400412
1963,-231.841481685334,"OHC","2005-2014 base period","obs",-325.748580041805,-137.934383328864,93.9070983564708
1964,-242.111455810089,"OHC","2005-2014 base period","obs",-329.477632902082,-154.745278718095,87.3661770919933
1965,-240.911171765636,"OHC","2005-2014 base period","obs",-326.647618277533,-155.174725253739,85.736446511897
1966,-241.794020013489,"OHC","2005-2014 base period","obs",-324.856552467015,-158.731487559964,83.0625324535256
1967,-252.281440011886,"OHC","2005-2014 base period","obs",-331.741620356815,-172.821259666957,79.4601803449287
1968,-268.234614377559,"OHC","2005-2014 base period","obs",-341.638542668397,-194.830686086721,73.4039282908377
1969,-276.8657226815,"OHC","2005-2014 base period","obs",-347.436521619743,-206.294923743256,70.5707989382435
1970,-268.533685577663,"OHC","2005-2014 base period","obs",-334.776003739954,-202.291367415371,66.2423181622912
1971,-262.139330317168,"OHC","2005-2014 base period","obs",-330.557016159246,-193.72164447509,68.4176858420778
1972,-253.914745389022,"OHC","2005-2014 base period","obs",-322.784255877128,-185.045234900917,68.8695104881054
1973,-252.54407698484,"OHC","2005-2014 base period","obs",-327.307768424967,-177.780385544713,74.7636914401271
1974,-238.849486401718,"OHC","2005-2014 base period","obs",-316.001820078234,-161.697152725202,77.1523336765158
1975,-233.936421388029,"OHC","2005-2014 base period","obs",-312.820634659034,-155.052208117024,78.884213271005
1976,-222.509506221719,"OHC","2005-2014 base period","obs",-301.234535593521,-143.784476849917,78.7250293718022
1977,-225.415843151885,"OHC","2005-2014 base period","obs",-302.294289985512,-148.537396318258,76.8784468336272
1978,-222.711256698811,"OHC","2005-2014 base period","obs",-293.751402767783,-151.671110629838,71.0401460689727
1979,-216.009587605785,"OHC","2005-2014 base period","obs",-283.590620125096,-148.428555086474,67.5810325193111
1980,-207.656684693208,"OHC","2005-2014 base period","obs",-273.26984225499,-142.043527131426,65.6131575617823
1981,-203.461729611557,"OHC","2005-2014 base period","obs",-272.21594033538,-134.707518887733,68.7542107238234
1982,-211.221679579955,"OHC","2005-2014 base period","obs",-279.592087953447,-142.851271206464,68.3704083734918
1983,-219.617281427605,"OHC","2005-2014 base period","obs",-287.219154502617,-152.015408352594,67.6018730750118
1984,-217.610564344917,"OHC","2005-2014 base period","obs",-284.54627316177,-150.674855528064,66.9357088168532
1985,-208.970644566599,"OHC","2005-2014 base period","obs",-274.016658546786,-143.924630586412,65.0460139801871
1986,-202.056093228181,"OHC","2005-2014 base period","obs",-263.636233829638,-140.475952626724,61.5801406014571
1987,-192.988448053455,"OHC","2005-2014 base period","obs",-252.251483539583,-133.725412567327,59.2630354861278
1988,-188.73696153994,"OHC","2005-2014 base period","obs",-247.483719153011,-129.990203926868,58.7467576130713
1989,-187.091437681727,"OHC","2005-2014 base period","obs",-241.735442871095,-132.447432492359,54.644005189368
1990,-183.030712693234,"OHC","2005-2014 base period","obs",-233.496970751375,-132.564454635092,50.4662580581411
1991,-178.427516679907,"OHC","2005-2014 base period","obs",-222.29543849388,-134.559594865934,43.8679218139729
1992,-166.3798102093,"OHC","2005-2014 base period","obs",-204.096114041346,-128.663506377253,37.7163038320469
1993,-161.330695145862,"OHC","2005-2014 base period","obs",-195.727114170689,-126.934276121034,34.3964190248276
1994,-161.249755878245,"OHC","2005-2014 base period","obs",-193.683088336609,-128.81642341988,32.4333324583646
1995,-151.872495135366,"OHC","2005-2014 base period","obs",-185.895225439629,-117.849764831104,34.0227303042628
1996,-145.252550959048,"OHC","2005-2014 base period","obs",-180.204126090189,-110.300975827908,34.9515751311403
1997,-134.511329995164,"OHC","2005-2014 base period","obs",-169.483807117413,-99.5388528729155,34.9724771222487
1998,-126.203382125996,"OHC","2005-2014 base period","obs",-162.62542380018,-89.7813404518108,36.4220416741848
1999,-117.092575508591,"OHC","2005-2014 base period","obs",-159.178704104139,-75.0064469130426,42.086128595548
2000,-106.713336821048,"OHC","2005-2014 base period","obs",-157.742222777176,-55.6844508649207,51.0288859561277
2001,-93.0465271138309,"OHC","2005-2014 base period","obs",-145.321039685011,-40.7720145426512,52.2745125711796
2002,-72.9677947360153,"OHC","2005-2014 base period","obs",-121.736880889846,-24.1987085821848,48.7690861538305
2003,-53.4932097980723,"OHC","2005-2014 base period","obs",-88.1806065526144,-18.8058130435302,34.6873967545421
2004,-45.3956973350571,"OHC","2005-2014 base period","obs",-71.753557942584,-19.0378367275302,26.3578606075269
2005,-37.9032529809273,"OHC","2005-2014 base period","obs",-58.5345531800612,-17.2719527817934,20.6313001991339
2006,-34.967530074167,"OHC","2005-2014 base period","obs",-53.6323274086104,-16.3027327397235,18.6647973344435
2007,-25.8932185064368,"OHC","2005-2014 base period","obs",-43.6876321914499,-8.0988048214238,17.794413685013
2008,-18.7929842590436,"OHC","2005-2014 base period","obs",-35.620884932011,-1.96508358607629,16.8279006729673
2009,-7.56303545263658,"OHC","2005-2014 base period","obs",-23.9003005104838,8.77422960521066,16.3372650578472
2010,1.67766053507113,"OHC","2005-2014 base period","obs",-14.4320732136788,17.7873942838211,16.10973374875
2011,9.77307486145877,"OHC","2005-2014 base period","obs",-6.69342983976565,26.2395795626832,16.4665047012244
2012,23.8009162206785,"OHC","2005-2014 base period","obs",6.62935112920987,40.9724813121472,17.1715650914687
2013,36.6261978793033,"OHC","2005-2014 base period","obs",19.0457445958049,54.2066511628017,17.5804532834984
2014,53.2421717766996,"OHC","2005-2014 base period","obs",34.9085992608208,71.5757442925784,18.3335725158788
2015,61.0488180435975,"OHC","2005-2014 base period","obs",42.0454997476652,80.0521363395299,19.0033182959323
