"model","scenario","ensemble","year","variable","value"
"ACCESS-CM2","ssp126","r1i1p1f1",1871,"land_tas",0.00478058823529182
"ACCESS-CM2","ssp126","r1i1p1f1",1872,"global_tas",0.189934068476077
"ACCESS-CM2","ssp126","r1i1p1f1",1872,"sst",0.11822513235294
"ACCESS-CM2","ssp126","r1i1p1f1",1872,"land_tas",0.411360588235254
"ACCESS-CM2","ssp126","r1i1p1f1",1873,"global_tas",-0.091767482970738
"ACCESS-CM2","ssp126","r1i1p1f1",1873,"sst",-0.027563617647058
"ACCESS-CM2","ssp126","r1i1p1f1",1873,"land_tas",-0.0853094117647402
"ACCESS-CM2","ssp126","r1i1p1f1",1874,"global_tas",0.10273227293726
"ACCESS-CM2","ssp126","r1i1p1f1",1874,"sst",0.00895129901960708
"ACCESS-CM2","ssp126","r1i1p1f1",1874,"land_tas",0.20224058823527
"ACCESS-CM2","ssp126","r1i1p1f1",1875,"global_tas",0.0594650321503991
"ACCESS-CM2","ssp126","r1i1p1f1",1875,"sst",0.0103228823529415
"ACCESS-CM2","ssp126","r1i1p1f1",1875,"land_tas",0.0206405882352669
"ACCESS-CM2","ssp126","r1i1p1f1",1876,"global_tas",0.0131591455111106
"ACCESS-CM2","ssp126","r1i1p1f1",1876,"sst",0.00714104901960877
"ACCESS-CM2","ssp126","r1i1p1f1",1876,"land_tas",-0.0336594117647451
"ACCESS-CM2","ssp126","r1i1p1f1",1877,"global_tas",0.115523088004977
"ACCESS-CM2","ssp126","r1i1p1f1",1877,"sst",0.0529007156862741
"ACCESS-CM2","ssp126","r1i1p1f1",1877,"land_tas",0.159840588235284
"ACCESS-CM2","ssp126","r1i1p1f1",1878,"global_tas",0.0605848266517341
"ACCESS-CM2","ssp126","r1i1p1f1",1878,"sst",0.065498965686274
"ACCESS-CM2","ssp126","r1i1p1f1",1878,"land_tas",0.0165005882352602
"ACCESS-CM2","ssp126","r1i1p1f1",1879,"global_tas",0.0174811706830269
"ACCESS-CM2","ssp126","r1i1p1f1",1879,"sst",0.0580875490196072
"ACCESS-CM2","ssp126","r1i1p1f1",1879,"land_tas",-0.0188994117647212
"ACCESS-CM2","ssp126","r1i1p1f1",1880,"global_tas",-0.0320391353238847
"ACCESS-CM2","ssp126","r1i1p1f1",1880,"sst",-0.041055117647058
"ACCESS-CM2","ssp126","r1i1p1f1",1880,"land_tas",0.0138405882352686
"ACCESS-CM2","ssp126","r1i1p1f1",1881,"global_tas",0.0161196460715587
"ACCESS-CM2","ssp126","r1i1p1f1",1881,"sst",0.0168535490196079
"ACCESS-CM2","ssp126","r1i1p1f1",1881,"land_tas",-0.0928194117647081
"ACCESS-CM2","ssp126","r1i1p1f1",1882,"global_tas",0.0635685500883483
"ACCESS-CM2","ssp126","r1i1p1f1",1882,"sst",0.073318382352941
"ACCESS-CM2","ssp126","r1i1p1f1",1882,"land_tas",-0.0227594117647527
"ACCESS-CM2","ssp126","r1i1p1f1",1883,"global_tas",-0.0293031035384956
"ACCESS-CM2","ssp126","r1i1p1f1",1883,"sst",0.015384715686274
"ACCESS-CM2","ssp126","r1i1p1f1",1883,"land_tas",-0.065289411764752
"ACCESS-CM2","ssp126","r1i1p1f1",1884,"global_tas",-0.389370706081138
"ACCESS-CM2","ssp126","r1i1p1f1",1884,"sst",-0.244955284313725
"ACCESS-CM2","ssp126","r1i1p1f1",1884,"land_tas",-0.550979411764729
"ACCESS-CM2","ssp126","r1i1p1f1",1885,"global_tas",-0.327077106874071
"ACCESS-CM2","ssp126","r1i1p1f1",1885,"sst",-0.204346617647058
"ACCESS-CM2","ssp126","r1i1p1f1",1885,"land_tas",-0.425089411764759
"ACCESS-CM2","ssp126","r1i1p1f1",1886,"global_tas",-0.320743181251828
"ACCESS-CM2","ssp126","r1i1p1f1",1886,"sst",-0.210625450980391
"ACCESS-CM2","ssp126","r1i1p1f1",1886,"land_tas",-0.413309411764715
"ACCESS-CM2","ssp126","r1i1p1f1",1887,"global_tas",-0.165560774698122
"ACCESS-CM2","ssp126","r1i1p1f1",1887,"sst",-0.104530784313724
"ACCESS-CM2","ssp126","r1i1p1f1",1887,"land_tas",-0.158739411764714
"ACCESS-CM2","ssp126","r1i1p1f1",1888,"global_tas",-0.149134433922598
"ACCESS-CM2","ssp126","r1i1p1f1",1888,"sst",-0.079289034313724
"ACCESS-CM2","ssp126","r1i1p1f1",1888,"land_tas",-0.236009411764712
"ACCESS-CM2","ssp126","r1i1p1f1",1889,"global_tas",-0.110382133058806
"ACCESS-CM2","ssp126","r1i1p1f1",1889,"sst",-0.059204950980391
"ACCESS-CM2","ssp126","r1i1p1f1",1889,"land_tas",-0.177689411764732
"ACCESS-CM2","ssp126","r1i1p1f1",1890,"global_tas",-0.0557233810803837
"ACCESS-CM2","ssp126","r1i1p1f1",1890,"sst",0.0250441323529424
"ACCESS-CM2","ssp126","r1i1p1f1",1890,"land_tas",-0.161559411764756
"ACCESS-CM2","ssp126","r1i1p1f1",1891,"global_tas",-0.0895196368683173
"ACCESS-CM2","ssp126","r1i1p1f1",1891,"sst",-0.021969700980392
"ACCESS-CM2","ssp126","r1i1p1f1",1891,"land_tas",-0.155619411764746
"ACCESS-CM2","ssp126","r1i1p1f1",1892,"global_tas",-0.247403512736071
"ACCESS-CM2","ssp126","r1i1p1f1",1892,"sst",-0.184090867647057
"ACCESS-CM2","ssp126","r1i1p1f1",1892,"land_tas",-0.330209411764713
"ACCESS-CM2","ssp126","r1i1p1f1",1893,"global_tas",-0.0770946403862922
"ACCESS-CM2","ssp126","r1i1p1f1",1893,"sst",-0.076737450980392
"ACCESS-CM2","ssp126","r1i1p1f1",1893,"land_tas",-0.0934894117647218
"ACCESS-CM2","ssp126","r1i1p1f1",1894,"global_tas",-0.00358917332908959
"ACCESS-CM2","ssp126","r1i1p1f1",1894,"sst",-0.039669534313724
"ACCESS-CM2","ssp126","r1i1p1f1",1894,"land_tas",0.0718405882352613
"ACCESS-CM2","ssp126","r1i1p1f1",1895,"global_tas",0.0166767565822852
"ACCESS-CM2","ssp126","r1i1p1f1",1895,"sst",-0.038650534313724
"ACCESS-CM2","ssp126","r1i1p1f1",1895,"land_tas",-0.0438594117647426
"ACCESS-CM2","ssp126","r1i1p1f1",1896,"global_tas",0.0635924736061497
"ACCESS-CM2","ssp126","r1i1p1f1",1896,"sst",0.0548079656862727
"ACCESS-CM2","ssp126","r1i1p1f1",1896,"land_tas",0.0129605882352735
"ACCESS-CM2","ssp126","r1i1p1f1",1897,"global_tas",0.11967561647856
"ACCESS-CM2","ssp126","r1i1p1f1",1897,"sst",0.114271465686276
"ACCESS-CM2","ssp126","r1i1p1f1",1897,"land_tas",0.0556205882352856
"ACCESS-CM2","ssp126","r1i1p1f1",1898,"global_tas",0.175997307245325
"ACCESS-CM2","ssp126","r1i1p1f1",1898,"sst",0.101883382352941
"ACCESS-CM2","ssp126","r1i1p1f1",1898,"land_tas",0.271560588235275
"ACCESS-CM2","ssp126","r1i1p1f1",1899,"global_tas",0.111890582192643
"ACCESS-CM2","ssp126","r1i1p1f1",1899,"sst",0.0701770490196091
"ACCESS-CM2","ssp126","r1i1p1f1",1899,"land_tas",0.151480588235245
"ACCESS-CM2","ssp126","r1i1p1f1",1900,"global_tas",0.115043557676813
"ACCESS-CM2","ssp126","r1i1p1f1",1900,"sst",0.0740629656862738
"ACCESS-CM2","ssp126","r1i1p1f1",1900,"land_tas",0.0320005882352916
"ACCESS-CM2","ssp126","r1i1p1f1",1901,"global_tas",0.0613093981896782
"ACCESS-CM2","ssp126","r1i1p1f1",1901,"sst",0.0299562156862729
"ACCESS-CM2","ssp126","r1i1p1f1",1901,"land_tas",0.0868705882352856
"ACCESS-CM2","ssp126","r1i1p1f1",1902,"global_tas",0.0894552659589181
"ACCESS-CM2","ssp126","r1i1p1f1",1902,"sst",0.0773322990196094
"ACCESS-CM2","ssp126","r1i1p1f1",1902,"land_tas",0.00154058823528658
"ACCESS-CM2","ssp126","r1i1p1f1",1903,"global_tas",-0.107830234475614
"ACCESS-CM2","ssp126","r1i1p1f1",1903,"sst",-0.017333867647061
"ACCESS-CM2","ssp126","r1i1p1f1",1903,"land_tas",-0.268859411764709
